Porto,Mercadoria,Sentido,Volume Diário em Toneladas,Volume Diário em Movs
Paranaguá,OLEO DIESEL,Imp/Exp,"15.000,000",
Paranaguá,SODA CÁUSTICA,Imp,"12.100,000",
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Paranaguá,METANOL,Imp,"17.138,000",
Paranaguá,SULFATO DE AMONIO,Imp,"67.500,000",
Paranaguá,TRIGO (EXC.TRIGO DURO OU P/SEM,Exp,"28.500,000",
Paranaguá,UREIA,Imp,"31.250,000",
Paranaguá,UREIA,Imp,"21.598,000",
Paranaguá,MAP,Imp,"7.150,000",
Paranaguá,AÇÚCAR,Exp,"57.250,000",
Paranaguá,MALTE,Imp,"10.002,000",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"9.700,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"20.025,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"22.825,000",
Paranaguá,AÇÚCAR,Exp,"36.300,000",
Paranaguá,MILHO,Exp,"66.000,000",
Paranaguá,MILHO,Exp,"71.500,000",
Paranaguá,MILHO,Exp,"67.500,000",
Paranaguá,CONTÊINERES,Imp/Exp,,800
Paranaguá,CONTÊINERES,Imp/Exp,,800
Paranaguá,OLEO DE SOJA,Exp,"10.801,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"25.525,000",
Paranaguá,CONTÊINERES,Imp/Exp,,750
Paranaguá,AÇÚCAR,Exp,"30.000,000",
Paranaguá,SODA CÁUSTICA,Imp,"2.635,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"20.240,000",
Paranaguá,CLORETOS DE POTASSIO,Imp,"22.360,000",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"20.240,000",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"22.360,000",
Paranaguá,FARELO DE SOJA,Exp,"60.662,000",
Paranaguá,MAP,Imp,"15.000,000",
Paranaguá,SOJA,Exp,"72.450,000",
Paranaguá,SOJA,Exp,"64.570,000",
Paranaguá,FUEL-OIL (OLEO COMBUSTIVEL),Imp/Exp,"30.000,000",
Paranaguá,AÇÚCAR,Exp,"12.027,000",
Paranaguá,SOJA,Exp,"60.000,000",
Santos,OLEO DIESEL,"EMB,     ",30000,
Paranaguá,OUTS.MAQUINAS E APARS.P/FABR.P,Imp,"184,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,7796,
Paranaguá,AÇÚCAR,Exp,"55.250,000",
Santos,OLEO DIESEL,DESC   ,41289,
Paranaguá,AÇÚCAR,Exp,"40.000,000",
Santos,OLEO DIESEL,DESC   ,56262,
Paranaguá,METANOL,Imp,"9.532,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,DESC   ,35923,
Paranaguá,AÇÚCAR,Exp,"53.003,000",
Santos,OLEO COMBUSTIVEL,"EMB,     ",60000,
Paranaguá,CLORETO DE POTASSIO,Imp,"20.718,000",
Santos,ETHANOL,"EMB,     ",32743,
Paranaguá,AÇÚCAR,Exp,"51.850,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,"EMB,     ",3750,
Paranaguá,SULFATO DE AMONIO,Imp,"67.295,000",
Santos,OLEO DIESEL,DESC   ,36500,
Paranaguá,MALTE,Imp,"6.703,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,"EMB,     ",9000,
Paranaguá,SOJA,Exp,"67.500,000",
Santos,OLEO LUBRIFICANTE,DESC   ,3250,
Paranaguá,FARELO DE SOJA,Exp,"45.000,000",
Santos,OLEO DIESEL,DESC   ,35900,
Paranaguá,AÇÚCAR,Exp,"33.000,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,"EMB,     ",16110,
Paranaguá,AÇÚCAR,Exp,"65.000,000",
Santos,OLEO DIESEL,"EMB,     ",36000,
Paranaguá,AÇÚCAR,Exp,"51.125,000",
Santos,OLEO DIESEL,"EMB,     ",30000,
Paranaguá,OUTS.ADUBOS/FERTILIZ.MINER.QUI,Imp,"17.644,000",
Santos,GRAN.LIQUIDO NAO ESPECIF,"EMB,     ",7600,
Paranaguá,CLORETO DE POTASSIO,Imp,"17.644,000",
Santos,OLEO COMBUSTIVEL,"EMB,     ",20000,
